0.44794,0.535135,0.52939,0.518596,0.521736,0.534946,0.543111,0.557921,0.527214,0.485558,0.503611,0.494578,0.502385,0.497087,0.491925,0.512512,0.494569,0.467462,0.459653,0.505267,0.495043,0.49606,0.492895,0.51287,0.521738,0.536115,0.514767,0.492307,0.516588,0.505252,0.47676,0.48371,0.485535,0.479419,0.495947,0.509205
0.414733,0.552625,0.560625,0.553489,0.56153,0.543374,0.583215,0.579421,0.584589,0.537163,0.564319,0.539215,0.534242,0.536369,0.54304,0.547204,0.558584,0.49813,0.523235,0.533549,0.538557,0.520384,0.528161,0.521296,0.539479,0.5397,0.54846,0.522316,0.576906,0.524473,0.518517,0.535359,0.536763,0.53456,0.551234,0.503674
0.352823,0.519022,0.509456,0.515955,0.517966,0.514109,0.51454,0.545066,0.502863,0.505773,0.512027,0.494345,0.505309,0.495322,0.498502,0.509639,0.522966,0.470157,0.460519,0.520965,0.499914,0.505237,0.490115,0.496223,0.480338,0.500675,0.489659,0.503543,0.520291,0.517125,0.501524,0.516265,0.498817,0.513743,0.513093,0.449675
0.321539,0.46585,0.467737,0.454481,0.458383,0.448216,0.455699,0.448932,0.443746,0.415224,0.461919,0.479403,0.50045,0.472711,0.492604,0.478535,0.478242,0.431002,0.415715,0.455552,0.47938,0.450622,0.445109,0.432581,0.450544,0.42497,0.416136,0.425908,0.48585,0.474398,0.46184,0.458774,0.474488,0.489644,0.463713,0.401319
0.243746,0.401744,0.395635,0.411725,0.411576,0.435447,0.435045,0.484773,0.404366,0.406972,0.41436,0.410259,0.387549,0.39355,0.368795,0.392174,0.367446,0.339785,0.322663,0.362495,0.390678,0.366175,0.391536,0.388362,0.411162,0.40928,0.415008,0.386516,0.479497,0.448284,0.424013,0.408324,0.41256,0.385305,0.383377,0.314775
0.236344,0.365263,0.391573,0.378698,0.405393,0.387163,0.415475,0.429641,0.418485,0.36959,0.375119,0.374192,0.376114,0.366971,0.37521,0.369896,0.360932,0.334155,0.339829,0.35368,0.366582,0.360016,0.347564,0.359581,0.36912,0.382792,0.362011,0.399523,0.391536,0.426865,0.399209,0.388063,0.343964,0.400083,0.337811,0.295658
0.223429,0.36767,0.325907,0.386984,0.384854,0.380363,0.38072,0.440288,0.412969,0.350105,0.391723,0.382228,0.377279,0.352505,0.371185,0.343001,0.365726,0.332716,0.349323,0.352469,0.334363,0.340276,0.351112,0.350283,0.377171,0.385783,0.370636,0.353618,0.462124,0.383214,0.410775,0.352856,0.386521,0.328012,0.368454,0.284226
0.185159,0.309622,0.329306,0.328018,0.346928,0.317802,0.367658,0.3774,0.370378,0.297637,0.346339,0.33836,0.330602,0.327391,0.311313,0.315906,0.316904,0.274698,0.278988,0.314188,0.30803,0.317684,0.325096,0.333842,0.343349,0.346593,0.325856,0.332985,0.38721,0.370455,0.320278,0.350411,0.319086,0.341328,0.300129,0.239642
0.197245,0.319712,0.31254,0.303976,0.307112,0.313502,0.329819,0.359601,0.339444,0.333138,0.350132,0.369913,0.328045,0.333144,0.317432,0.351274,0.344054,0.329894,0.312186,0.334597,0.318852,0.31133,0.317239,0.311951,0.325421,0.33662,0.313577,0.309487,0.341895,0.323889,0.295384,0.287645,0.283862,0.301901,0.28,0.232616
0.22142,0.334239,0.340244,0.333271,0.318494,0.318696,0.348281,0.360045,0.355937,0.340402,0.377169,0.366174,0.344674,0.337121,0.349355,0.361901,0.370862,0.31991,0.314564,0.341824,0.332931,0.322867,0.322589,0.31483,0.334788,0.349558,0.324388,0.310987,0.357084,0.319968,0.306641,0.30509,0.325429,0.313667,0.324578,0.237302
0.227355,0.345522,0.344513,0.331707,0.328019,0.338635,0.345362,0.369259,0.35581,0.34014,0.373118,0.379835,0.373312,0.362184,0.362298,0.36709,0.381882,0.348504,0.32267,0.367447,0.34976,0.345345,0.337248,0.347012,0.339937,0.365797,0.315173,0.347028,0.373708,0.349912,0.323737,0.328906,0.333674,0.341759,0.3376,0.26027
0.241664,0.381431,0.377786,0.344286,0.353029,0.342426,0.363048,0.370592,0.355446,0.353778,0.401654,0.408666,0.420924,0.39803,0.408323,0.422055,0.407564,0.376777,0.370181,0.396804,0.400364,0.389537,0.375703,0.362512,0.369509,0.360562,0.335577,0.341356,0.383302,0.381354,0.372014,0.359698,0.366307,0.386231,0.387056,0.300925
0.234787,0.364866,0.329987,0.394721,0.376932,0.377342,0.397588,0.436378,0.411417,0.392109,0.405475,0.411726,0.392157,0.405754,0.397365,0.354354,0.385141,0.343164,0.331298,0.385088,0.364326,0.373626,0.370611,0.363605,0.390679,0.394693,0.390627,0.385001,0.440709,0.380854,0.378147,0.354342,0.38227,0.324803,0.357757,0.293873
