0.476061,0.563364,0.561202,0.546342,0.551135,0.56463,0.573272,0.58459,0.554573,0.512446,0.530325,0.520852,0.528292,0.523438,0.517266,0.536675,0.51807,0.49175,0.484159,0.531538,0.521161,0.52318,0.518066,0.537541,0.546103,0.562576,0.541107,0.517962,0.543473,0.534998,0.506082,0.515968,0.515483,0.506115,0.522422,0.538907
0.437804,0.581451,0.585282,0.579378,0.585237,0.564983,0.606414,0.602008,0.606505,0.556368,0.584431,0.555639,0.552928,0.555765,0.563856,0.565734,0.577293,0.51671,0.542893,0.554435,0.559348,0.541969,0.548578,0.539632,0.55629,0.559206,0.568538,0.544272,0.601613,0.54728,0.542926,0.560205,0.558953,0.555606,0.571988,0.526469
0.370697,0.541438,0.531577,0.535126,0.536824,0.532153,0.531669,0.563707,0.521491,0.522473,0.525488,0.505858,0.515685,0.509209,0.513226,0.525234,0.53778,0.482229,0.473867,0.53591,0.513519,0.519094,0.504326,0.509057,0.493665,0.514561,0.504987,0.521098,0.539825,0.533654,0.518871,0.535359,0.513944,0.530293,0.529157,0.467534
0.333586,0.482352,0.481999,0.46882,0.47145,0.460653,0.468458,0.462129,0.456729,0.42702,0.472227,0.490072,0.509269,0.481421,0.503477,0.490977,0.488693,0.441259,0.425857,0.46574,0.488352,0.45959,0.45375,0.441127,0.46091,0.434667,0.425556,0.438378,0.499313,0.488006,0.473436,0.472777,0.487875,0.501241,0.478015,0.415798
0.254141,0.415279,0.408105,0.422733,0.422664,0.445438,0.449673,0.499616,0.416461,0.421051,0.426287,0.422238,0.397538,0.402522,0.378455,0.402522,0.377633,0.349797,0.330712,0.371431,0.399105,0.374217,0.401607,0.398151,0.424172,0.420153,0.424309,0.397913,0.497548,0.463197,0.438457,0.42213,0.427529,0.39835,0.397724,0.328211
0.253123,0.385785,0.409307,0.394148,0.419543,0.401122,0.432755,0.447306,0.434169,0.386716,0.389091,0.38796,0.389881,0.380598,0.390467,0.384288,0.37385,0.348349,0.352082,0.366509,0.379241,0.375238,0.361441,0.375009,0.386057,0.398069,0.375208,0.417693,0.413616,0.448029,0.418477,0.407914,0.361975,0.42101,0.356327,0.314968
0.245429,0.392196,0.348168,0.407362,0.40446,0.400526,0.402765,0.463953,0.433755,0.368343,0.410499,0.398708,0.394565,0.369893,0.389331,0.360159,0.384949,0.350663,0.364997,0.367465,0.349879,0.357967,0.367731,0.366864,0.395453,0.402539,0.385545,0.371897,0.4856,0.402402,0.428226,0.370799,0.4045,0.345818,0.388429,0.30363
0.19948,0.327229,0.344805,0.341836,0.359831,0.332163,0.385098,0.392476,0.384407,0.311367,0.360729,0.353741,0.34349,0.340385,0.322171,0.328275,0.330181,0.287925,0.287373,0.324458,0.317599,0.328082,0.333745,0.34312,0.352943,0.355371,0.333073,0.341362,0.401269,0.38168,0.327064,0.360448,0.32926,0.35061,0.308745,0.249278
0.202596,0.32821,0.319007,0.306817,0.311779,0.321491,0.340096,0.366979,0.346342,0.339254,0.358642,0.377469,0.334866,0.339313,0.325547,0.356912,0.350706,0.337718,0.3148,0.337381,0.32229,0.313554,0.319372,0.314337,0.327369,0.340417,0.315195,0.313482,0.348029,0.328613,0.298474,0.290909,0.29108,0.308239,0.284038,0.237646
0.227666,0.344035,0.348557,0.337358,0.32333,0.32617,0.357829,0.36814,0.364366,0.348898,0.388656,0.375526,0.353981,0.345095,0.358968,0.369353,0.377852,0.327837,0.320016,0.345494,0.336355,0.326908,0.326389,0.318698,0.33898,0.353601,0.3292,0.318061,0.365773,0.327441,0.311811,0.311174,0.333405,0.322867,0.331098,0.243369
